评论日期,评论者昵称,性别,所在城市,猫眼等级,评分,评论内容
2018-10-01,小楠哥,1,北京,4,4,基本上呈现了一种写意的政治惊悚感，这种风格可不可以复制不知道，反正以前没有拍过，而替身这个点又是强人设，对于邓超的考验极大，这次的演员除了两个鲜肉（台词功力差距明显）基本都超水平发挥，文戏烧脑，武戏流畅，但并不是说影就毫无缺陷，导演的特长在视觉，他对于镜头感的过度苛求，阴阳的区隔致使长城那种恶趣味又露了峥嵘…
2018-10-01,飘渺宁,0,南宁,4,4,还是比较可以的电影，电影画面有种奇妙的美感，比较喜欢，剧情有点薄弱但还是可以接受的
2018-10-01,苏漓洺,0,唐山,3,5,蒙太奇😂😂😂
2018-10-01,张小明,1,吴江,2,4,还可以了:没事看看了！
2018-10-01,虞十九,1,高邮,2,3.5,有很多地方都很复杂，好坏难说，浅显易懂的太少。
2018-10-01,cfh13480979779,0,深圳,3,4.5,画面好美，故事生硬，
2018-10-01,Mr丶凯神,1,北京,4,4,给的东西有点少，演技没得说
2018-10-01,温暖如初,2,乐山,3,5,吹爆邓超老师的演技！
2018-10-01,oVx482668887,0,荣成,1,5,人物角色演艺的很到位。
2018-10-01,VSR575152155,0,深圳,3,4,"整体看下来，画风配乐都很好，就是有一些槽点：1.用雨伞作为武器，确实别出心裁，可是要表现阴柔，也不一定就要一群老爷们举着伞模仿女人扭几下再开打吧。
2.子虞的人设前后转变太大了，受伤前应该是类似于周瑜这样的高富帅，受伤后整个人变成猥琐变态的野心家了。
以上属于个人浅见，不喜，勿喷。"
2018-10-01,.,0,大连,2,2.5,一分给吴磊，一分给孙俪，一分邓超，一分画面，一分色调，负分关晓彤👋
2018-10-01,姚芳,2,简阳,3,5,挺好看的，古典画面！
2018-10-01,王强,1,广州,5,3.5,极简黑白水墨风格个性鲜明，演员表现出神入化，人物故事山寨黑泽明和莎士比亚。
2018-10-01,宝贝,1,介休,3,4,一幅大气的水墨画
2018-10-01,梦非离,1,上海,4,3,恕我俗人。看不懂高雅
2018-10-01,水竹樱莲,2,天津,2,5,邓凯演皇帝就是个小白脸。
2018-10-01,三胖2802,1,三河,2,0,并没有看成...
2018-10-01,kbo135318122,0,呼和浩特,3,4,还可以吧……
2018-10-01,Ski555207545,1,深圳,1,4,像话剧，有艺术品的味道。
2018-10-01,fpW474430244,0,哈尔滨,3,5,一如既往爱老谋子的电影
2018-10-01,龘,0,齐齐哈尔,1,5,很好。。。。
2018-10-01,buckniu,0,西安,1,5,"美如画，加油
下次再多点平凡的感动"
2018-10-01,Kum484075089,0,武汉,1,5,水墨画    超美   超喜欢   衣服超美
2018-10-01,石小歪,2,成都,2,5,非常喜欢看张艺谋的片子了
2018-10-01,quo301641590,1,芜湖,4,5,"老谋子认真起来还是不会让我们失望的！ 
故事讲好了，就是好故事！"
2018-10-01,黄小葱,0,深圳,3,3.5,前一个小时的对白很无聊，寒潮在最后40分钟，美术很精彩绝伦，台词相当平庸。
2018-10-01,黑白玄翦,1,新洲区,5,5,毕竟还是第一次在电影院看老谋子的电影，给个满分吧，剧情方面，怎么说呢，主公，真身，每个举动都觉得没那么简单，但是接下来的发展却又很好猜，不怎么吸引人，事实上，除了画面，邓超分饰两角的演技之外电影看点不多，不过也还不错了。
2018-10-01,赖子,0,集美,1,4,这部片子一开始前一段时间就让我脱不开《影子武士》，整个节奏，尤其是画质；太像了，但后半段电影自己的影子才凸显，或者是处于挣脱；并告诉你这是不一样的影子武士；片中各演技觉得很好，邓超真身的演技形大于神，尤其是子虞与田战见面这段，更加凸显。片子不错，对于一些自白没有过于突出话语的语气，这样内压更为爆发了；张导肯定坚决大用琴弦；场景，对话，打斗，感情；用上对应的男弦女弦，很赞。
